notice,dataset_kind,not_for_publication,citation_permitted,week_id,cutoff_at,profile_id,headline_price_usd,frontier_price_usd,mean_three_price_usd,weight,contribution_percentage_points,price_setter_endpoint_id,price_setter_provider_id,price_setter_creator_id,selected_triple,observation_ids,source_ids
SYNTHETIC KAPI PROTOTYPE — NOT AN OFFICIAL OR PUBLISHED INDEX,synthetic,True,False,week-2026-04-03,2026-04-03T16:00:00Z,structured-extraction,0.0056,0.0044,0.0052,0.16666666666666666666666666666666666666666666666667,,endpoint-a-v1,provider-a,creator-a,"[""endpoint-a-v1"",""endpoint-b-v1"",""endpoint-d-v1""]","[""price-2026-04-03-a-input"",""price-2026-04-03-a-output"",""price-2026-04-03-b-input"",""price-2026-04-03-b-output"",""price-2026-04-03-c-input"",""price-2026-04-03-c-output"",""price-2026-04-03-d-input"",""price-2026-04-03-d-output""]","[""source-capability-a"",""source-capability-b"",""source-capability-c"",""source-capability-d"",""source-price-2026-04-03-a"",""source-price-2026-04-03-b"",""source-price-2026-04-03-c"",""source-price-2026-04-03-d""]"
SYNTHETIC KAPI PROTOTYPE — NOT AN OFFICIAL OR PUBLISHED INDEX,synthetic,True,False,week-2026-04-03,2026-04-03T16:00:00Z,grounded-rag,0.024,0.0196,0.023333333333333333333333333333333333333333333333333,0.16666666666666666666666666666666666666666666666667,,endpoint-d-v1,provider-d,creator-d,"[""endpoint-a-v1"",""endpoint-b-v1"",""endpoint-d-v1""]","[""price-2026-04-03-a-input"",""price-2026-04-03-a-output"",""price-2026-04-03-b-input"",""price-2026-04-03-b-output"",""price-2026-04-03-c-input"",""price-2026-04-03-c-output"",""price-2026-04-03-d-input"",""price-2026-04-03-d-output""]","[""source-capability-a"",""source-capability-b"",""source-capability-c"",""source-capability-d"",""source-price-2026-04-03-a"",""source-price-2026-04-03-b"",""source-price-2026-04-03-c"",""source-price-2026-04-03-d""]"
SYNTHETIC KAPI PROTOTYPE — NOT AN OFFICIAL OR PUBLISHED INDEX,synthetic,True,False,week-2026-04-03,2026-04-03T16:00:00Z,summarization-transformation,0.05,0.043,0.051666666666666666666666666666666666666666666666667,0.16666666666666666666666666666666666666666666666667,,endpoint-d-v1,provider-d,creator-d,"[""endpoint-a-v1"",""endpoint-b-v1"",""endpoint-d-v1""]","[""price-2026-04-03-a-input"",""price-2026-04-03-a-output"",""price-2026-04-03-b-input"",""price-2026-04-03-b-output"",""price-2026-04-03-c-input"",""price-2026-04-03-c-output"",""price-2026-04-03-d-input"",""price-2026-04-03-d-output""]","[""source-capability-a"",""source-capability-b"",""source-capability-c"",""source-capability-d"",""source-price-2026-04-03-a"",""source-price-2026-04-03-b"",""source-price-2026-04-03-c"",""source-price-2026-04-03-d""]"
SYNTHETIC KAPI PROTOTYPE — NOT AN OFFICIAL OR PUBLISHED INDEX,synthetic,True,False,week-2026-04-03,2026-04-03T16:00:00Z,code-repair,0.048,0.048,0.05,0.16666666666666666666666666666666666666666666666667,,endpoint-b-v1,provider-b,creator-b,"[""endpoint-a-v1"",""endpoint-b-v1"",""endpoint-c-v1""]","[""price-2026-04-03-a-input"",""price-2026-04-03-a-output"",""price-2026-04-03-b-input"",""price-2026-04-03-b-output"",""price-2026-04-03-c-input"",""price-2026-04-03-c-output"",""price-2026-04-03-d-input"",""price-2026-04-03-d-output""]","[""source-capability-a"",""source-capability-b"",""source-capability-c"",""source-capability-d"",""source-price-2026-04-03-a"",""source-price-2026-04-03-b"",""source-price-2026-04-03-c"",""source-price-2026-04-03-d""]"
SYNTHETIC KAPI PROTOTYPE — NOT AN OFFICIAL OR PUBLISHED INDEX,synthetic,True,False,week-2026-04-03,2026-04-03T16:00:00Z,analysis-reasoning,0.012,0.01,0.011733333333333333333333333333333333333333333333333,0.16666666666666666666666666666666666666666666666667,,endpoint-a-v1,provider-a,creator-a,"[""endpoint-a-v1"",""endpoint-b-v1"",""endpoint-d-v1""]","[""price-2026-04-03-a-input"",""price-2026-04-03-a-output"",""price-2026-04-03-b-input"",""price-2026-04-03-b-output"",""price-2026-04-03-c-input"",""price-2026-04-03-c-output"",""price-2026-04-03-d-input"",""price-2026-04-03-d-output""]","[""source-capability-a"",""source-capability-b"",""source-capability-c"",""source-capability-d"",""source-price-2026-04-03-a"",""source-price-2026-04-03-b"",""source-price-2026-04-03-c"",""source-price-2026-04-03-d""]"
SYNTHETIC KAPI PROTOTYPE — NOT AN OFFICIAL OR PUBLISHED INDEX,synthetic,True,False,week-2026-04-03,2026-04-03T16:00:00Z,tool-workflow,0.108,0.102,0.112,0.16666666666666666666666666666666666666666666666667,,endpoint-a-v1,provider-a,creator-a,"[""endpoint-a-v1"",""endpoint-b-v1"",""endpoint-c-v1""]","[""price-2026-04-03-a-input"",""price-2026-04-03-a-output"",""price-2026-04-03-b-input"",""price-2026-04-03-b-output"",""price-2026-04-03-c-input"",""price-2026-04-03-c-output"",""price-2026-04-03-d-input"",""price-2026-04-03-d-output""]","[""source-capability-a"",""source-capability-b"",""source-capability-c"",""source-capability-d"",""source-price-2026-04-03-a"",""source-price-2026-04-03-b"",""source-price-2026-04-03-c"",""source-price-2026-04-03-d""]"
SYNTHETIC KAPI PROTOTYPE — NOT AN OFFICIAL OR PUBLISHED INDEX,synthetic,True,False,week-2026-04-10,2026-04-10T16:00:00Z,structured-extraction,0.0056,0.0044,0.0052,0.16666666666666666666666666666666666666666666666667,0,endpoint-a-v1,provider-a,creator-a,"[""endpoint-a-v1"",""endpoint-b-v1"",""endpoint-d-v1""]","[""price-2026-04-10-a-input"",""price-2026-04-10-a-output"",""price-2026-04-10-b-input"",""price-2026-04-10-b-output"",""price-2026-04-10-c-input"",""price-2026-04-10-c-output"",""price-2026-04-10-d-input"",""price-2026-04-10-d-output""]","[""source-capability-a"",""source-capability-b"",""source-capability-c"",""source-capability-d"",""source-price-2026-04-10-a"",""source-price-2026-04-10-b"",""source-price-2026-04-10-c"",""source-price-2026-04-10-d""]"
SYNTHETIC KAPI PROTOTYPE — NOT AN OFFICIAL OR PUBLISHED INDEX,synthetic,True,False,week-2026-04-10,2026-04-10T16:00:00Z,grounded-rag,0.024,0.0196,0.023333333333333333333333333333333333333333333333333,0.16666666666666666666666666666666666666666666666667,0,endpoint-d-v1,provider-d,creator-d,"[""endpoint-a-v1"",""endpoint-b-v1"",""endpoint-d-v1""]","[""price-2026-04-10-a-input"",""price-2026-04-10-a-output"",""price-2026-04-10-b-input"",""price-2026-04-10-b-output"",""price-2026-04-10-c-input"",""price-2026-04-10-c-output"",""price-2026-04-10-d-input"",""price-2026-04-10-d-output""]","[""source-capability-a"",""source-capability-b"",""source-capability-c"",""source-capability-d"",""source-price-2026-04-10-a"",""source-price-2026-04-10-b"",""source-price-2026-04-10-c"",""source-price-2026-04-10-d""]"
SYNTHETIC KAPI PROTOTYPE — NOT AN OFFICIAL OR PUBLISHED INDEX,synthetic,True,False,week-2026-04-10,2026-04-10T16:00:00Z,summarization-transformation,0.05,0.043,0.051666666666666666666666666666666666666666666666667,0.16666666666666666666666666666666666666666666666667,0,endpoint-d-v1,provider-d,creator-d,"[""endpoint-a-v1"",""endpoint-b-v1"",""endpoint-d-v1""]","[""price-2026-04-10-a-input"",""price-2026-04-10-a-output"",""price-2026-04-10-b-input"",""price-2026-04-10-b-output"",""price-2026-04-10-c-input"",""price-2026-04-10-c-output"",""price-2026-04-10-d-input"",""price-2026-04-10-d-output""]","[""source-capability-a"",""source-capability-b"",""source-capability-c"",""source-capability-d"",""source-price-2026-04-10-a"",""source-price-2026-04-10-b"",""source-price-2026-04-10-c"",""source-price-2026-04-10-d""]"
SYNTHETIC KAPI PROTOTYPE — NOT AN OFFICIAL OR PUBLISHED INDEX,synthetic,True,False,week-2026-04-10,2026-04-10T16:00:00Z,code-repair,0.048,0.048,0.05,0.16666666666666666666666666666666666666666666666667,0,endpoint-b-v1,provider-b,creator-b,"[""endpoint-a-v1"",""endpoint-b-v1"",""endpoint-c-v1""]","[""price-2026-04-10-a-input"",""price-2026-04-10-a-output"",""price-2026-04-10-b-input"",""price-2026-04-10-b-output"",""price-2026-04-10-c-input"",""price-2026-04-10-c-output"",""price-2026-04-10-d-input"",""price-2026-04-10-d-output""]","[""source-capability-a"",""source-capability-b"",""source-capability-c"",""source-capability-d"",""source-price-2026-04-10-a"",""source-price-2026-04-10-b"",""source-price-2026-04-10-c"",""source-price-2026-04-10-d""]"
