notice,dataset_kind,not_for_publication,citation_permitted,week_id,cutoff_at,calculation_status,release_status,calculation_disposition,governance_state,review_label,publication_state,publication_eligible,basket_unit_cost_usd,basket_60_cost_usd,index_level,geometric_index,frontier_index,mean_three_index,week_over_week_percent,four_week_percent,since_base_percent,year_over_year_percent,coverage_profile_count,concentration_warning,concentration_withheld
SYNTHETIC KAPI PROTOTYPE — NOT AN OFFICIAL OR PUBLISHED INDEX,synthetic,True,False,week-2026-04-03,2026-04-03T16:00:00Z,complete,withheld_concentration,withheld,unreviewed,Governance status: Unreviewed draft. Automated validation completed for this artifact; no operator or external methodology review is complete.,not_authorized,False,0.041266666666666666666666666666666666666666666666667,2.476,100,100,100,100,,,0,,6,True,True
SYNTHETIC KAPI PROTOTYPE — NOT AN OFFICIAL OR PUBLISHED INDEX,synthetic,True,False,week-2026-04-10,2026-04-10T16:00:00Z,complete,withheld_concentration,withheld,unreviewed,Governance status: Unreviewed draft. Automated validation completed for this artifact; no operator or external methodology review is complete.,not_authorized,False,0.041266666666666666666666666666666666666666666666667,2.476,100,100,100,100,0,,0,,6,True,True
SYNTHETIC KAPI PROTOTYPE — NOT AN OFFICIAL OR PUBLISHED INDEX,synthetic,True,False,week-2026-04-17,2026-04-17T16:00:00Z,complete,withheld_concentration,withheld,unreviewed,Governance status: Unreviewed draft. Automated validation completed for this artifact; no operator or external methodology review is complete.,not_authorized,False,0.041266666666666666666666666666666666666666666666667,2.476,100,100,100,100,0,,0,,6,True,True
SYNTHETIC KAPI PROTOTYPE — NOT AN OFFICIAL OR PUBLISHED INDEX,synthetic,True,False,week-2026-04-24,2026-04-24T16:00:00Z,complete,withheld_concentration,withheld,unreviewed,Governance status: Unreviewed draft. Automated validation completed for this artifact; no operator or external methodology review is complete.,not_authorized,False,0.041266666666666666666666666666666666666666666666667,2.476,100,100,100,100,0,,0,,6,True,True
SYNTHETIC KAPI PROTOTYPE — NOT AN OFFICIAL OR PUBLISHED INDEX,synthetic,True,False,week-2026-05-01,2026-05-01T16:00:00Z,complete,withheld_concentration,withheld,unreviewed,Governance status: Unreviewed draft. Automated validation completed for this artifact; no operator or external methodology review is complete.,not_authorized,False,0.041266666666666666666666666666666666666666666666667,2.476,100,100,100,100,0,0,0,,6,True,True
SYNTHETIC KAPI PROTOTYPE — NOT AN OFFICIAL OR PUBLISHED INDEX,synthetic,True,False,week-2026-05-08,2026-05-08T16:00:00Z,complete,withheld_concentration,withheld,unreviewed,Governance status: Unreviewed draft. Automated validation completed for this artifact; no operator or external methodology review is complete.,not_authorized,False,0.041266666666666666666666666666666666666666666666667,2.476,100,100,100,100,0,0,0,,6,True,True
SYNTHETIC KAPI PROTOTYPE — NOT AN OFFICIAL OR PUBLISHED INDEX,synthetic,True,False,week-2026-05-15,2026-05-15T16:00:00Z,complete,withheld_concentration,withheld,unreviewed,Governance status: Unreviewed draft. Automated validation completed for this artifact; no operator or external methodology review is complete.,not_authorized,False,0.041266666666666666666666666666666666666666666666667,2.476,100,100,100,100,0,0,0,,6,True,True
SYNTHETIC KAPI PROTOTYPE — NOT AN OFFICIAL OR PUBLISHED INDEX,synthetic,True,False,week-2026-05-22,2026-05-22T16:00:00Z,complete,withheld_concentration,withheld,unreviewed,Governance status: Unreviewed draft. Automated validation completed for this artifact; no operator or external methodology review is complete.,not_authorized,False,0.041266666666666666666666666666666666666666666666667,2.476,100,100,100,100,0,0,0,,6,True,True
SYNTHETIC KAPI PROTOTYPE — NOT AN OFFICIAL OR PUBLISHED INDEX,synthetic,True,False,week-2026-05-29,2026-05-29T16:00:00Z,complete,withheld_concentration,withheld,unreviewed,Governance status: Unreviewed draft. Automated validation completed for this artifact; no operator or external methodology review is complete.,not_authorized,False,0.041266666666666666666666666666666666666666666666667,2.476,100,100,100,100,0,0,0,,6,True,True
SYNTHETIC KAPI PROTOTYPE — NOT AN OFFICIAL OR PUBLISHED INDEX,synthetic,True,False,week-2026-06-05,2026-06-05T16:00:00Z,complete,withheld_concentration,withheld,unreviewed,Governance status: Unreviewed draft. Automated validation completed for this artifact; no operator or external methodology review is complete.,not_authorized,False,0.041266666666666666666666666666666666666666666666667,2.476,100,100,100,100,0,0,0,,6,True,True
